Number,Iterative,Rcursive,Memory,Logarithmic
0,-∞,2.540011E-06,4.8400075E-06,-∞
1,1.001E-08,1.5010002E-08,2.001E-08,1.3800097E-06
2,4.0009997E-08,2.5010001E-08,2.5010001E-08,3.8000994E-07
3,2.5010001E-08,3.5009997E-08,2.8800112E-06,5.100099E-07
4,3.5009997E-08,5.500999E-08,1.5001004E-07,1.7501E-07
5,5.0009994E-08,9.500998E-08,1.9735002E-05,2.5501E-07
6,5.0009994E-08,1.1000999E-07,3.8365004E-05,1.1900098E-06
7,4.0009997E-08,1.4001E-07,2.8001003E-07,5.100099E-07
8,6.000999E-08,2.4501003E-07,4.3950104E-06,6.000101E-07
9,4.5009994E-08,3.3501001E-07,3.8500997E-07,1.0000101E-06
10,6.5009985E-08,5.4501004E-07,7.2501007E-07,1.10001E-06
11,8.000998E-08,9.5000996E-07,1.6400103E-06,1.14001E-06
12,8.000998E-08,1.3850101E-06,1.6800099E-06,9.600101E-07
13,9.500998E-08,3.51001E-06,2.3600096E-06,3.5350108E-06
14,9.0009976E-08,3.5900098E-06,7.100099E-07,1.64501E-06
15,9.0009976E-08,5.800009E-06,1.0800101E-06,1.0650101E-06
16,9.0009976E-08,1.3405009E-05,1.93501E-06,1.3850099E-06
17,9.0009976E-08,1.9025008E-05,1.93501E-06,1.3350098E-06
18,1.2500999E-07,2.963001E-05,2.3000098E-06,2.0050102E-06
19,1.2501E-07,4.0030012E-05,1.2500101E-06,1.6400102E-06
20,1.4501E-07,8.843502E-05,3.4100096E-06,2.14501E-06
21,1.2001001E-07,0.00010418,2.3000096E-06,2.26001E-06
22,1.3001E-07,0.00016980003,2.11501E-06,1.7750097E-06
23,1.3001E-07,0.00029558502,3.2400098E-06,1.92001E-06
24,1.5001004E-07,0.0004758151,3.76001E-06,3.2850098E-06
25,1.4001002E-07,0.00073741504,2.18501E-06,2.2800098E-06
26,1.3001001E-07,0.001259275,2.4850103E-06,2.2850104E-06
27,1.2501002E-07,0.002019655,2.4300102E-06,2.4200103E-06
28,1.8001E-07,0.003296995,2.6850105E-06,2.5450101E-06
29,1.6501001E-07,0.0052304096,3.7800105E-06,2.7650099E-06
30,1.7500999E-07,0.008864961,1.9100103E-06,4.18001E-06
