Number;Iterative;Rcursive;Memory;Logarithmic
0;1.00E-16;4.79E-17;4.96E-17;1.00E-16
1;9.92E-17;9.57E-17;9.93E-17;7.10E-08
2;9.79E-17;2.71E-07;1.90E-08;1.42E-07
3;1.75E-08;5.43E-07;8.65E-08;4.94E-07
4;3.50E-08;9.17E-07;1.54E-07;8.30E-07
5;1.75E-08;1.69E-06;1.27E-06;8.48E-07
6;8.75E-09;1.91E-06;8.99E-07;8.00E-07
7;4.38E-09;1.95E-06;6.72E-07;8.40E-07
8;3.47E-08;2.29E-06;6.17E-07;8.80E-07
9;4.93E-08;2.54E-06;9.03E-07;1.06E-06
10;6.40E-08;3.10E-06;9.57E-07;1.22E-06
11;6.70E-08;3.21E-06;9.61E-07;1.29E-06
12;6.75E-08;3.24E-06;9.65E-07;1.37E-06
13;6.80E-08;3.89E-06;1.12E-06;1.44E-06
14;7.90E-08;3.97E-06;1.10E-06;1.50E-06
15;8.80E-08;3.71E-06;9.91E-07;1.39E-06
16;9.10E-08;3.68E-06;9.61E-07;1.37E-06
17;9.60E-08;3.79E-06;9.64E-07;1.41E-06
18;9.90E-08;3.90E-06;9.66E-07;1.44E-06
19;1.11E-07;4.12E-06;1.04E-06;1.52E-06
20;1.19E-07;4.37E-06;1.27E-06;1.60E-06
21;1.20E-07;4.62E-06;1.31E-06;1.70E-06
22;1.20E-07;4.87E-06;1.36E-06;1.79E-06
23;1.24E-07;5.13E-06;1.47E-06;1.88E-06
24;1.33E-07;6.54E-06;1.59E-06;2.03E-06
25;1.38E-07;7.05E-06;1.62E-06;2.08E-06
26;1.38E-07;6.56E-06;1.61E-06;2.14E-06
27;1.42E-07;6.44E-06;1.64E-06;2.20E-06
28;1.50E-07;6.46E-06;1.67E-06;2.27E-06
29;1.51E-07;6.49E-06;1.70E-06;2.35E-06
30;1.52E-07;6.67E-06;1.74E-06;2.43E-06
31;1.61E-07;6.85E-06;1.76E-06;2.50E-06
32;1.67E-07;7.04E-06;1.80E-06;2.56E-06
33;1.74E-07;7.26E-06;1.85E-06;2.63E-06
34;1.80E-07;7.49E-06;1.89E-06;2.70E-06
35;1.80E-07;8.13E-06;1.95E-06;2.80E-06
36;1.81E-07;8.77E-06;2.01E-06;2.89E-06
37;1.87E-07;9.39E-06;2.41E-06;3.25E-06
38;1.94E-07;9.12E-06;2.28E-06;3.20E-06
39;1.94E-07;9.09E-06;2.37E-06;3.22E-06
40;1.95E-07;9.45E-06;2.46E-06;3.25E-06
41;1.99E-07;9.40E-06;2.49E-06;3.25E-06
42;2.10E-07;9.78E-06;2.54E-06;3.35E-06
43;2.11E-07;9.80E-06;2.57E-06;3.42E-06
44;2.12E-07;9.82E-06;2.58E-06;3.55E-06
45;2.14E-07;1.04E-05;2.69E-06;3.64E-06
46;2.26E-07;1.05E-05;2.72E-06;3.73E-06
47;2.28E-07;1.18E-05;2.80E-06;3.88E-06
48;2.30E-07;1.15E-05;2.83E-06;3.91E-06
49;2.31E-07;1.17E-05;2.86E-06;3.94E-06
50;2.44E-07;1.16E-05;2.86E-06;3.97E-06
51;2.45E-07;1.18E-05;2.89E-06;4.03E-06
52;2.45E-07;1.21E-05;2.95E-06;4.11E-06
53;2.50E-07;1.21E-05;3.02E-06;4.21E-06
54;2.55E-07;1.21E-05;3.05E-06;4.28E-06
55;2.61E-07;1.29E-05;3.12E-06;4.38E-06
56;2.66E-07;1.29E-05;3.20E-06;4.48E-06
57;2.66E-07;1.29E-05;3.22E-06;4.56E-06
58;2.72E-07;1.34E-05;3.25E-06;4.66E-06
59;2.79E-07;1.38E-05;3.27E-06;4.70E-06
60;2.79E-07;1.38E-05;3.33E-06;4.73E-06
61;2.89E-07;1.51E-05;3.39E-06;4.81E-06
62;2.94E-07;1.49E-05;3.49E-06;5.35E-06
63;2.99E-07;1.49E-05;3.59E-06;5.47E-06
64;3.03E-07;1.50E-05;3.65E-06;5.38E-06
65;3.12E-07;1.52E-05;3.69E-06;5.38E-06
66;3.13E-07;1.54E-05;3.72E-06;5.39E-06
67;3.14E-07;1.64E-05;3.74E-06;5.50E-06
68;3.18E-07;1.69E-05;3.82E-06;5.59E-06
69;3.22E-07;1.69E-05;3.89E-06;5.69E-06
70;3.26E-07;1.70E-05;3.96E-06;5.69E-06
71;3.28E-07;1.71E-05;3.99E-06;5.79E-06
72;3.35E-07;1.74E-05;4.04E-06;5.87E-06
73;3.42E-07;1.77E-05;4.08E-06;5.93E-06
74;6.22E-07;1.85E-05;4.62E-06;6.53E-06
75;3.47E-07;1.91E-05;4.24E-06;6.19E-06
